length_cm,year,pond,station,month
31,2016,PJ,PJ3,3
19.9,2024,NP,NP3,1
26,2008,PJ,PJ4,1
26,2010,PJ,PJ3,2
27,2005,PJ,PJ6,2
25.5,2020,PJ,PJ2,2
23,2019,PJ,PJ6,2
18,2005,PJ,PJ6,2
23,2004,PJ,PJ6,3
21,2020,PJ,PJ2,2
19.2,2024,PP,PP3,1
32,2010,PJ,PJ1,1
20.9,2015,PJ,PJ1,4
26,2012,PJ,PJ2,3
36,2008,PJ,PJ1,1
24,2010,PJ,PJ6,3
29,2004,PJ,PJ1,3
24,2007,PJ,PJ1,3
23.1,2023,NP,NP3,2
24,2016,PJ,PJ3,3
15,2020,PJ,PJ2,3
25,2003,PJ,PJ1,2
41,2004,PJ,PJ6,3
25,2024,PP,PP6,2
16,2024,PP,PP3,1
NA,2002,PJ,PJ2,3
26,2008,PJ,PJ3,3
21,2003,PJ,PJ2,4
29,2000,PJ,PJ2,2
20,2019,PJ,PJ1,2
15,2024,NP,NP3,12
27,2020,PJ,PJ1,1
NA,2002,PJ,PJ2,3
27,2010,PJ,PJ1,1
28,2010,PJ,PJ3,2
36,2000,PJ,PJ2,2
24,2010,PJ,PJ6,1
29,2008,PJ,PJ1,2
29,2009,PJ,PJ1,3
29.1,2020,PJ,PJ1,12
28,2008,PJ,PJ1,1
23,2006,PJ,PJ1,1
24,2006,PJ,PJ1,2
15.3,2024,PP,PP3,1
15,2011,PJ,PJ3,4
29,2003,PJ,PJ1,2
35,2008,PJ,PJ4,1
24,2006,PJ,PJ1,1
21,2011,PP,PP1,3
NA,2020,PJ,PJ1,1
23,2016,PP,PP1,4
25,2020,PJ,PJ1,1
28,2005,PJ,PJ1,3
33,2010,PJ,PJ6,2
20,2024,PP,PP1,2
23,2015,NP,NP2,4
26,2003,PJ,PJ1,2
18,2011,PJ,PJ6,4
22,2004,PJ,PJ3,4
23,2010,PJ,PJ6,1
25,2013,NP,NP2,2
NA,2002,PJ,PJ2,3
25,2007,PJ,PJ3,3
26,2006,PJ,PJ1,2
NA,2020,PJ,PJ1,12
28.5,2020,PJ,PJ2,2
19,2011,PP,PP1,4
25,2013,NP,NP2,2
20,2004,PJ,PJ3,4
33,2006,PJ,PJ1,1
29.5,2024,PP,PP1,2
22,2006,PJ,PJ2,3
20,2010,PJ,PJ3,2
NA,2020,PJ,PJ1,12
NA,2002,PJ,PJ2,3
23,2006,PJ,PJ1,1
29,2016,PP,PP1,4
22,2003,PJ,PJ2,4
24,2006,PJ,PJ1,2
22.8,2020,NP,NP2,2
26,2006,PJ,PJ1,2
25,2013,NP,NP2,2
26,1999,PP,PP2,3
26,2005,PJ,PJ1,1
24,2006,PJ,PJ1,2
25,1999,PJ,PJ1,2
20,2006,PJ,PJ1,2
19,2006,PJ,PJ2,2
24,2009,PJ,PJ6,4
23,2006,PJ,PJ1,1
21,2003,PJ,PJ3,4
NA,2002,PJ,PJ2,3
23,2015,NP,NP1,4
24,2004,PJ,PJ3,4
20,2003,PJ,PJ2,4
21,2005,PJ,PJ1,1
NA,2002,PJ,PJ2,3
30,2006,PJ,PJ1,1
22,1999,PJ,PJ4,3
27,2005,PJ,PJ1,1
31,2006,PJ,PJ2,2
NA,2002,PJ,PJ2,3
17,2020,NP,NP1,3
18,2005,PJ,PJ1,1
NA,2002,PJ,PJ2,3
30,2010,PJ,PJ6,1
14,2005,PJ,PJ2,4
NA,2002,PJ,PJ2,3
23,2006,PJ,PJ1,1
28,2006,PJ,PJ1,2
19,2006,PJ,PJ2,1
24,2006,PJ,PJ1,1
NA,2002,PJ,PJ2,3
26,2000,PJ,PJ2,2
18.2,2020,NP,NP1,3
NA,2002,PJ,PJ2,3
NA,2002,PJ,PJ2,3
20,2006,PJ,PJ2,2
29,2000,PJ,PJ2,2
19.9,2020,NP,NP1,3
16,2007,PJ,PJ1,1
NA,2002,PJ,PJ2,3
24,2006,PJ,PJ1,1
16.7,2020,NP,NP1,3
17,2007,PJ,PJ1,1
23,2005,PJ,PJ2,4
NA,2002,PJ,PJ2,3
30,2000,PJ,PJ2,2
34,2006,PJ,PJ1,1
33,2006,PJ,PJ1,1
NA,2002,PJ,PJ2,3
19,2006,PJ,PJ1,1
23,2006,PJ,PJ1,1
29,2000,PJ,PJ2,2
23,2006,PJ,PJ2,2
21,2000,PJ,PJ2,2
26,2000,PJ,PJ3,2
16.6,2020,NP,NP1,3
19,2020,NP,NP1,3
18.1,2020,NP,NP1,3
15.1,2020,NP,NP1,3
26,1999,PJ,PJ1,2
14.4,2020,NP,NP1,3
18.9,2020,NP,NP1,3
24,2000,PJ,PJ3,2
14.2,2020,NP,NP1,3
16.3,2020,NP,NP1,3
15.6,2020,NP,NP1,3
15.7,2020,NP,NP1,3
13.8,2025,PP,PP3,1
14,2016,PP,PP1,4
17,2022,PP,PP3,2
21.5,2009,PJ,PJ2,4
14.3,2021,PP,PP3,3
19,2012,PP,PP1,3
16.3,2024,PP,PP3,1
16.4,2021,PP,PP1,3
16.8,2007,PJ,PJ1,3
18.1,2019,NP,NP1,3
19,2015,PP,PP1,3
13.8,2024,PP,PP3,12
17.1,2022,PP,PP3,1
15.3,2024,PP,PP6,1
23,2010,PJ,PJ6,4
14.4,2024,PP,PP6,1
14.5,2021,PP,PP1,1
16,2024,PP,PP3,12
17,2006,PJ,PJ1,4
21.3,2023,NP,NP7,3
19.5,2025,PP,PP3,1
23,2009,PJ,PJ1,3
13.6,2025,NP,NP3,1
18.4,2021,NP,NP1,3
17,2015,PP,PP1,4
15.8,2025,PP,PP3,1
15.9,2025,PP,PP1,1
16.9,2023,NP,NP3,3
18,2004,PJ,PJ1,3
18,2021,PP,PP1,3
15.3,2024,NP,NP1,4
17.8,2022,PP,PP3,2
23,2015,NP,NP1,3
16.4,2022,PP,PP3,3
16,2007,PJ,PJ1,1
17.9,2022,PP,PP3,3
16.8,2024,PP,PP6,2
18,2007,PJ,PJ3,3
14,2018,PP,PP1,3
