pond,station,haul.winter,haul.date_jul,soak_days,set.occurrence_yr,lunar.illumination,range.depth_m,mean.water.temp_c,range.water.temp_c,skewness.water.temp,kurtosis.water.temp,bimodality.water.temp,air.temp.range_c,salinity_ppt,delta.salinity_ppt.day,do_mg.l,delta.do_mg.l.day,precip_mm.day,wind_m.s,wfl_freq,wfl_binary
PJ,PJ6,2020,57,4,1,0.036708427134871616,1.98,4.876839378238342,1.75,-0.4248977369733349,2.123128183942566,0.549517537022062,17.5,26.25,0.4749999999999997,11.9,0.3500000000000001,0,2.7,2,1
PJ,PJ1,2020,61,4,1,0.10719209610565408,1.2,5.668817480719794,1.7999999999999998,0.6039476379546878,3.9903041613516894,0.3383376401095912,13,26.15,-0.7749999999999995,13.3,-0.4499999999999997,9.56,3.58,5,1
PJ,PJ6,2020,61,4,2,0.10719209610565408,1.38,5.652366412213741,1.54,-0.0018672571187085929,1.971365977092048,0.5008334699849997,13,25.59,-0.8049999999999997,12.865,0.13250000000000028,9.56,3.58,0,0
PJ,PJ1,2020,64,3,2,0.3935342887926781,0.8800000000000001,4.297536764705882,3.49,-0.248780004311988,2.637290559760025,0.3955379147625897,10.5,23.73,-0.5800000000000006,13.88,0.9866666666666664,6.35,2.95,5,1
PJ,PJ6,2020,64,3,3,0.3935342887926781,0.9699999999999998,4.866579925650558,2.39,-0.4552653341849982,2.162538903095358,0.5490003375513518,10.5,23.975,-0.0033333333333338544,13.295000000000002,0.11000000000000004,6.35,2.95,0,0
PJ,PJ1,2020,67,3,3,0.69701604700892,0.6699999999999999,4.934,2.3100000000000005,-0.9328205949152024,3.204051712209466,0.5764559601467826,13.7,23.66,0.5333333333333338,15.18,-0.11999999999999982,2.875,2.5,2,1
PJ,PJ6,2020,67,3,4,0.69701604700892,1.09,5.277147766323024,1.8600000000000003,-0.2409075426623448,3.3595030297745145,0.3097297070990026,13.7,23.61,-0.23999999999999963,12.96,-0.3333333333333333,2.875,2.5,1,1
PJ,PJ1,2020,70,3,4,0.9229153200341196,1.22,4.571706484641638,3.35,-1.1368140646764158,3.788113922735179,0.5983296901931812,11.9,24.67,0.13999999999999935,14.185,-0.5433333333333336,0.625,2.475,1,1
PJ,PJ6,2020,70,3,5,0.9229153200341196,0.9200000000000002,3.6826510067114095,5.33,-1.465650283196912,4.372062492171769,0.7129389301368119,11.9,23.19,-0.040000000000000334,13.44,0.653333333333333,0.625,2.475,2,1
PJ,PJ1,2020,74,4,5,0.9651150516284454,1.4999999999999998,5.171844919786096,6.5600000000000005,-0.16197195547507862,1.5583739096459108,0.6498925434826703,27.4,26.26,0.6900000000000004,11.87,-0.75,0.46,4.08,3,1
PJ,PJ6,2020,74,4,6,0.9651150516284454,1.8,5.2048930481283415,5.39,0.09030752274844615,1.488418163997331,0.668355725040715,27.4,22.94,-0.09499999999999977,13.39,-0.5150000000000001,0.46,4.08,3,1
PP,PP1,2020,74,3,1,0.9587848234684716,0.73,6.055392491467575,5.300000000000001,-0.5228268980052206,1.6818979990001233,0.74588266366688,27.4,26.77,-0.0266666666666661,11.015,-0.19000000000000009,0.575,4.425,3,1
PP,PP1,2020,83,9,2,0.4827842140977498,1.09,3.819166666666665,8.59,0.13816182426811638,1.4575355326020536,0.6952464879471847,21.8,26.84,0.02444444444444432,10.73,NA,1.45,2.85,6,1
