,tempmean,tempmedian,tempmin,tempmax,tempdiff,depthmean,salinmean,salinmedian,salinmin,salinmax,file_list
01062023_NP1,7.299717314,7.24,6.76,7.86,0.21,-2.187561837,24.48784452,28.24,13.29,29.92,01062023_NP1.xlsx
01062023_NP3,7.551901408,7.55,7.14,7.86,0.23,8.614753521,30.26242958,30.25,28.97,30.96,01062023_NP3.xlsx
01092023_NP1,6.152342657,6.27,4.6,6.97,1.44,-2.013986014,29.24440559,29.23,28.51,29.94,01092023_NP1.xlsx
01092023_NP3,7.475714286,7.45,6.24,7.96,0.8,8.688780488,30.19494774,30.19,27.56,30.65,01092023_NP3.xlsx
01092023_NP5,6.560280702,6.92,4.76,7.43,1.09,3.565192982,29.87161404,29.99,28.76,30.68,01092023_NP5.xlsx
01092023_PP3,6.350836237,6.4,5.21,6.92,0.59,4.300487805,29.9045993,29.92,29.2,30.48,01092023_PP3.xlsx
01132023_NP1,5.390957179,5.28,3.61,7.41,-1.39,-1.964206549,27.82899244,28.95,23.91,29.68,01132023_NP1.xlsx
01132023_NP3,6.609643766,6.73,4.93,7.82,0.49,8.738880407,24.48229008,23.73,17.35,31.17,01132023_NP3.xlsx
01132023_NP5,6.266871795,6.36,4.28,7.23,-1.15,3.583538462,29.84574359,29.85,28.49,30.74,01132023_NP5.xlsx
01132023_PP3,5.834285714,5.84,4.13,7.16,-1.04,4.50916442,29.97978437,30.05,28.88,30.67,01132023_PP3.xlsx
01172023_NP1,5.117479893,4.85,2.71,7.72,1.95,-1.950589812,29.27705094,29.21,27.93,30.47,01172023_NP1.xlsx
01172023_NP3,5.606382979,5.22,3.92,7.41,1.5,8.926808511,29.4056383,28.955,28.05,31.13,01172023_NP3.xlsx
01172023_NP5,5.579422572,5.22,3.47,7.57,2.25,3.593963255,29.03874016,28.96,27.12,30.84,01172023_NP5.xlsx
01172023_PP3,5.375746835,4.92,3.21,7.3,2.42,4.616734177,29.22724051,29.32,27.95,30.46,01172023_PP3.xlsx
01202023_NP1,5.438965517,5.475,4.09,6.41,-0.96,-2.076689655,29.39231034,29.54,28.16,30.05,01202023_NP1.xlsx
01202023_NP3,5.682473868,5.68,5.15,6.35,-0.82,8.572648084,29.54006969,29.72,26.33,30.5,01202023_NP3.xlsx
01202023_NP5,5.508877193,5.62,3.91,6.67,-1.18,3.487052632,29.72933333,29.73,28.25,30.8,01202023_NP5.xlsx
01202023_PP3,5.20866171,5.35,4.13,5.74,-1.14,4.218810409,29.45211896,29.47,26.89,30.68,01202023_PP3.xlsx
01242023_NP1,5.352997347,5.49,3.61,6.38,1.54,-1.939098143,29.39448276,29.42,28.12,30.05,01242023_NP1.xlsx
01242023_NP3,6.15926893,6.28,5.11,6.76,0.42,8.673655352,27.63691906,29.45,19.91,30.16,01242023_NP3.xlsx
01242023_NP5,5.700156658,5.86,3.51,6.46,2.17,3.589660574,29.30825065,29.51,27.04,30.67,01242023_NP5.xlsx
01242023_PP3,5.552205514,5.6,4.71,5.91,0.07,4.543759398,29.63949875,29.83,27.6,30.44,01242023_PP3.xlsx
01272023_NP1,5.293092784,5.21,3.35,6.79,-0.8,-2.149656357,28.84862543,29,27.54,29.73,01272023_NP1.xlsx
01272023_NP3,5.932666667,6,4.68,6.9,-1.5,8.449894737,25.01817544,25.23,22.45,26.48,01272023_NP3.xlsx
01272023_NP5,5.790314685,5.83,4.14,6.57,-1.37,3.575174825,28.47881119,28.34,25.16,29.94,01272023_NP5.xlsx
01272023_PP3,5.795470383,5.7,4.67,7.02,-0.39,4.458432056,29.13278746,29.27,27.38,30.03,01272023_PP3.xlsx
01302023_NP1,6.080176056,6.2,4.89,6.76,-1.31,-2.049119718,27.25433099,27.995,22.29,29.27,01302023_NP1.xlsx
01302023_NP3,6.891597222,6.9,6.17,7.52,-0.55,8.361770833,26.77128472,26.655,25.74,28.06,01302023_NP3.xlsx
01302023_NP5,6.283862069,6.46,4.9,7.12,-1.66,3.548034483,27.64896552,27.48,24.66,29.78,01302023_NP5.xlsx
01302023_PP3,6.113684211,6.26,5.46,6.54,-0.35,4.409438596,29.0394386,28.99,28.24,29.75,01302023_PP3.xlsx
02022023_NP1,5.608783784,5.64,3.38,7.07,0.85,-2.4125,28.51337838,28.48,27.5,29.57,02022023_NP1.xlsx
02022023_NP3,7.04010101,7.17,5.18,7.86,0.07,8.523367003,29.13993266,29.39,27.6,29.75,02022023_NP3.xlsx
02022023_NP5,6.54329932,6.64,4.57,7.88,1.2,3.548741497,29.82530612,30.08,27.67,30.68,02022023_NP5.xlsx
02022023_PP3,5.994296029,6.19,4.53,7.13,1.79,4.554765343,29.2133935,29.31,27.9,29.65,02022023_PP3.xlsx
02062023_NP1,1.889131579,2.235,-1.62,5.71,0.58,-2.293078947,28.37707895,28.995,21.62,30.54,02062023_NP1.xlsx
02062023_NP3,2.462887139,2.24,-1.28,7.65,3.79,8.526377953,28.14551181,28.3,26.04,30.49,02062023_NP3.xlsx
02062023_NP5,1.931518325,1.935,-1.5,5.37,0.73,3.557041885,28.91036649,29.12,27.05,30.92,02062023_NP5.xlsx
02062023_PP1,1.526370757,1.43,-1.69,5.3,1.13,-2.152741514,27.35101828,27.39,22.19,28.85,02062023_PP1.xlsx
02062023_PP3,2.24038961,2.57,-1.54,6.4,1.42,4.395558442,28.85254545,28.64,28.05,30.36,02062023_PP3.xlsx
02102023_NP1,4.567845745,4.56,2.37,6.24,-1.68,-2.224973404,29.34819149,29.52,27.86,30.23,02102023_NP1.xlsx
02102023_NP3,5.057978723,5.2,2.92,6.55,-3.21,8.565478723,29.19202128,29.355,27.21,30.34,02102023_NP3.xlsx
02102023_NP5,5.096808511,5.15,3.69,6.67,-1.94,3.655452128,29.38901596,29.395,27.84,30.53,02102023_NP5.xlsx
02102023_PP3,4.403721519,4.49,2.61,6.44,-2.9,4.422050633,29.04225316,29.12,27.42,30.23,02102023_PP3.xlsx
02102023_PP6,3.829093199,4.16,2.28,5.94,-3.66,6.821586902,26.40088161,26.82,22.7,27.74,02102023_PP6.xlsx
02152023_NP1,6.203783784,6.2,5.25,7.55,0.31,-2.309355509,29.01413721,29.02,28.08,30.12,02152023_NP1.xlsx
02152023_NP3,7.02039666,7,5.75,7.92,-1.31,8.41131524,17.87505219,17.2,14.51,22.46,02152023_NP3.xlsx
02152023_NP5,6.669771784,6.655,5.69,7.71,-0.46,3.493298755,29.29786307,29.42,27.1,30.64,02152023_NP5.xlsx
02152023_PP1,6.043583333,5.98,4.67,7.15,-0.49,-2.105020833,27.58191667,27.55,27.11,28.66,02152023_PP1.xlsx
02152023_PP3,6.03620332,6.02,5.1,7.19,-0.04,4.44686722,29.1419917,29.34,27.49,30.05,02152023_PP3.xlsx
02152023_PP6,6.440835073,6.4,5.58,7.24,-0.77,6.941649269,24.96772443,25.22,19.75,27.26,02152023_PP6.xlsx
02202023_NP1,6.732247423,6.62,4.71,8.46,-0.38,-2.369257732,23.8668866,24,18.26,27.66,02202023_NP1.xlsx
