,file_list,tempmean,tempmedian,tempmin,tempmax,tempdiff,depthmean,salinmean,salinmedian,salinmin,salinmax,
1,01082021_PJ2,4.656829268,4.67,3.83,5.11,0.25,3.626487805,25.48902439,27.58,18.35,28,01082021-PJ2.xlsx
2,01082021_PJ6,5.446183575,5.46,4.56,6.12,0.31,2.991014493,25.89347826,26.36,20.7,29.51,01082021-PJ6.xlsx
3,01082021_PP1,4.863170732,4.89,3.6,5.82,-0.22,0.299609756,21.61839024,21.24,16.44,28.05,01082021-PP1.xlsx
4,01112021_PJ5,4.799714286,4.78,3.42,5.75,1.52,2.3888,26.938,28.02,10.84,28.69,01112021-PJ5.xlsx
5,01112021_PJ6,5.022342007,5.06,4.06,5.63,0.39,2.790929368,28.74550186,28.75,27.67,29.6,01112021-PJ6.xlsx
6,01112021_PP1,4.670805861,4.7,3.27,6.13,-1.01,0.134725275,29.18,29.16,27.36,30.41,01112021-PP1.xlsx
7,01152021_PJ5,5.188082192,5.21,2.9,6.52,-2.12,2.399360731,27.36479452,28.56,6.02,29.24,01152021-PJ5.xlsx
8,01152021_PJ6,5.383170103,5.35,4.49,6.33,-1.02,2.579123711,29.07659794,29.11,27.59,30.12,01152021-PJ6.xlsx
9,01152021_PP1,5.266165803,5.28,3.04,6.52,-0.95,0.336968912,29.60248705,29.7,28.16,30.78,01152021-PP1.xlsx
10,01192021_PJ5,5.758186528,5.89,3.05,7.32,3.05,2.14373057,27.49481865,27.66,22.93,28.97,01192021-PJ5.xlsx
11,01192021_PJ6,5.791081794,5.81,4.99,6.57,0.95,2.483139842,28.36221636,28.36,26.93,29.72,01192021-PJ6.xlsx
12,01192021_PP1,5.437,5.515,3.23,7.04,2.7,-0.024078947,29.12447368,29.08,27.9,30.78,01192021-PP1.xlsx
13,01222021_PJ5,3.626321244,3.5,1.48,5.03,0.19,2.336580311,26.75264249,27.12,22.57,28.21,01222021-PJ5.xlsx
14,01222021_PJ6,4.671418685,4.71,3.62,5.46,0.75,2.585605536,28.18688581,28.26,26.85,29,01222021-PJ6.xlsx
