"","file_list","tempmean","tempmedian","tempmin","tempmax","tempdiff","depthmean","salinmean","salinmedian","salinmin","salinmax"
"1","01062022_NP1.xlsx","5.74586021505376","6.1","4.25","6.97","1.3","-2.82252688172043","26.5088172043011","27.075","24.31","28.04"
"2","01062022_NP3.xlsx","5.56186170212766","5.64","4.45","6.72","-1.34","-0.928510638297872","30.3715957446808","30.31","29.87","30.98"
"3","01062022_NP5.xlsx","5.17194736842105","5.57","3.14","6.12","0.44","-1.32752631578947","29.4380526315789","29.52","27.55","30.42"
"4","01102022_NP1.xlsx","3.79218592964824","4.1","-0.06","6.28","2.29","-2.98718592964824","6.92962311557789","0","0","28.49"
"5","01102022_NP3.xlsx","4.75263427109974","4.49","2.86","7.14","1.79","-0.998874680306905","30.4362404092072","30.39","29.55","31.13"
"6","01102022_NP5.xlsx","3.98253846153846","3.84","1.28","7.15","1.54","-1.2905641025641","28.7625128205128","28.71","26.96","30.08"
"7","01132022_NP1.xlsx","2.50717391304348","2.68","-0.02","4.61","-0.92","-3.06079710144928","28.8379710144928","28.8","27.88","29.81"
"8","01132022_NP3.xlsx","3.01581560283688","2.955","1.56","4.63","0.19","-1.05287234042553","30.6156737588652","30.58","29.32","31.67"
"9","01132022_NP5.xlsx","2.31978873239437","2.35","0.35","4.64","0","-1.23214788732394","28.6954225352113","29.03","27.05","29.96"
"10","01202022_NP3.xlsx","2.8027802690583","2.79","-0.59","5.85","0.29","-0.746322869955157","30.5918684603886","30.66","29.33","31.79"
"11","01202022_NP5.xlsx","2.52773413897281","2.43","-0.93","5.73","0.46","-1.1461329305136","28.8364803625378","29.16","26.39","30.46"
"12","01242022_NP1.xlsx","2.07383248730964","2.05","-0.99","4.39","1.28","-2.93573604060914","20.3223604060914","20.245","16.33","24.57"
"13","01242022_NP5.xlsx","2.43060913705584","2.45","0.39","4.64","-0.04","-1.10847715736041","29.0761421319797","29.2","27.52","30.26"
"14","01242022_PP1.xlsx","0.813342391304348","0.72","-1.28","3.11","2.08","0.926277173913044","100","100","100","100"
"15","01242022_PP3.xlsx","1.69098092643052","1.83","-0.62","4.22","1.19","6.00479564032698","28.5508991825613","29.3","18.23","31.21"
"16","01272022_NP5.xlsx","3.21111111111111","3.14","1.87","4.67","-1.02","-1.1710394265233","28.9100716845878","28.79","27.5","30.15"
"17","01282022_NP1.xlsx","2.74550802139037","2.7","-0.26","5.04","-0.97","-3.04810160427807","27.3236898395722","27.03","25.13","29.55"
"18","01282022_PP1.xlsx","1.61121827411168","1.59","-0.25","3.53","-0.28","0.840152284263959","31.419847715736","31.41","30.45","32.58"
"19","01282022_PP3.xlsx","2.76421319796954","2.78","0.5","4.07","0.27","6.04139593908629","30.1943908629442","30.13","28.37","31.36"
"20","02032022_NP6.xlsx","2.06676363636364","2.38","-0.9","3.81","-2.77","2.04523636363636","28.3294909090909","30.44","17.71","31.55"
"21","02032022_PP1.xlsx","1.57194539249147","1.67","-0.51","3.48","-2.93","-1.06501706484642","24.9549488054608","23.37","19.47","30.27"
"22","02032022_PP3.xlsx","1.81833333333333","1.86","0.06","3.99","-3.73","-3.06496598639456","20.1095238095238","21.15","11.93","26.29"
